Petani;PETA22-P19;Petani 00168;O-O-85C;Drill and Complete;DRL01 - Drill Hole;Land Drilling Rig;ABI-88;SSA2/402/3220913DR;2023-03-18 00:00:00;2023-04-09 08:00:00;2023-04-30 19:00:00;COMPLETE
Petani;PETA23-P34;Petani 00173;O-O-85D;Drill and Complete;DRL01 - Drill Hole;Land Drilling Rig;ABI-88;SSA2/402/3220914DR;2023-04-30 19:00:00;2023-05-04 14:30:00;2023-05-28 05:00:00;COMPLETE
Petani;PETA23-P30;Petani 00174;O-O-85E;Drill and Complete;DRL01 - Drill Hole;Land Drilling Rig;ABI-88;SSA2/402/3220912DR;2023-05-28 05:00:00;2023-05-31 18:00:00;2023-06-20 00:00:00;COMPLETE
Petani;PETA23_P12;Petani 00178;O-O-85F;Drill and Complete;DRL01 - Drill Hole;Land Drilling Rig;ABI-88;SSM2/402/3230291DR;2023-06-20 00:00:00;2023-06-23 10:00:00;2023-07-10 16:00:00;COMPLETE
Petani;PETA23-P33;Petani 00181;O-O-63B;Drill and Complete;DRL01 - Drill Hole;Land Drilling Rig;ABI-88;SSM2/402/3230298DR;2023-07-10 16:00:00;2023-07-15 14:00:00;2023-08-01 00:00:00;COMPLETE
Petani;PETA23_P10;Petani 00182;O-O-63C;Drill and Complete;DRL01 - Drill Hole;Land Drilling Rig;ABI-88;PTH2/402/3220808DR;2023-08-01 00:00:00;2023-08-04 22:00:00;2023-08-22 07:00:00;COMPLETE
Petani;PT22_P21;Petani 00187;O-O-63D;Drill and Complete;DRL01 - Drill Hole;Land Drilling Rig;ABI-88;SSM2/402/3230300DR;2023-08-22 07:00:00;2023-08-25 12:30:00;2023-09-12 14:00:00;COMPLETE
Petani;PETA22-INJ3;Petani 00189;S1-O-15C;Drill and Suspend;DRL01 - Drill Hole;Land Drilling Rig;ABI-88;SSA2/402/3220917DR;2023-09-12 14:00:00;2023-09-17 21:00:00;2023-10-12 00:00:00;COMPLETE
Petani;PETA23B-P03;Petani 00192;O-O-63E;Drill and Suspend;DRL01 - Drill Hole;Land Drilling Rig;ABI-88;SSM2/402/3230301DR;2023-10-12 00:00:00;2023-10-16 14:00:00;2023-10-30 19:00:00;COMPLETE
Petani;PETA23_P07;Petani 00196;O-O63F;Drill and Complete;DRL01 - Drill Hole;Land Drilling Rig;ABI-88;SSM2/402/3230302DR;2023-10-30 19:00:00;2023-11-04 01:00:00;2023-11-20 13:30:00;COMPLETE
Kopar;KPR-X20;Kopar 00040;O-O-66A;Drill and Complete;DRL01 - Drill Hole;Land Drilling Rig;ABI-88;SSO2/402/3220622DR;2023-11-20 13:30:00;2023-11-28 13:30:00;2023-12-22 10:30:00;RELEASE
Kopar;KPR-X18;Kopar 00042;Kopar O-O-86A;Drill and Complete;DRL01 - Drill Hole;Land Drilling Rig;ABI-88;SSO2/402/3220621DR;2023-12-22 10:30:00;2024-03-26 05:30:00;2024-04-21 22:00:00;COMPLETE
Pudu;PDU23_P02;Pudu 00021;O-O-32C;Drill and Complete;DRL01 - Drill Hole;Land Drilling Rig;ABI-88;SSN2/402/3230693DR;2024-01-31 17:00:00;2024-02-15 04:00:00;2024-03-13 15:00:00;COMPLETE
Kopar;KPR-X09;Kopar 00044;O-O-84B;Drill and Complete;DRL01 - Drill Hole;Land Drilling Rig;ABI-88;SSO2/402/3220618DR;2024-04-21 22:00:00;2024-04-29 06:00:00;2024-05-19 13:00:00;COMPLETE
Bangko;Bangko P01;Bangko 00343;N1-W2-57A;Complete;COM02 - Initial Completion Oil Producer;Land Workover Unit;ACS-005;GRK2/402/2210093DR;2021-11-04 16:00:00;2021-11-08 03:00:00;2021-11-13 20:00:00;COMPLETE
Bangko;BNK-P25;Bangko 00353;N1-W1-11A;Complete;COM02 - Initial Completion Oil Producer;Land Workover Unit;ACS-005;GRK2/402/2210053DR;2021-12-02 22:00:00;2021-12-04 02:00:00;2021-12-10 17:00:00;COMPLETE
Bangko;BNK-P32;Bangko 00352;N1-W3-28A;Complete;COM02 - Initial Completion Oil Producer;Land Workover Unit;ACS-005;GRK2/402/2210061DR;2021-12-18 02:30:00;2021-12-21 22:00:00;2021-12-27 16:00:00;COMPLETE
Bangko;BNK-P1;Bangko 00382;N1-W2-17C;Pump Repair;PMP18 - Raise up Tubing;Land Workover Unit;ACS-005;GRK2/402/2220060DR;2022-05-08 05:00:00;2022-05-09 21:00:00;2022-05-10 07:00:00;COMPLETE
Pemburu;PEMB21-P07;Pemburu 00036;O-O-65E;Swabbing;SWB01 - Regular Swab Test;Land Workover Unit;ACS-005;GRK2/402/2210123DR;2022-05-27 22:00:00;2022-05-28 16:00:00;2022-06-05 11:00:00;COMPLETE
Minas;MINAHW23_P08;Minas 02124;6C-19A;Pump Repair;PMP14 - Change Pump Type Normal;Land Workover Unit;ACS-006;SSM2/402/3230251DR;2024-07-07 00:00:00;2024-07-07 22:00:00;2024-07-09 12:00:00;COMPLETE
Pematang;Pematang P05;Pematang 00107;O-O-32B;Drill and Suspend;DRL01 - Drill Hole;Land Drilling Rig;ACS-009;GRK2/402/2210093DR;2021-07-18 22:30:00;2021-07-18 22:30:00;2021-08-15 21:30:00;COMPLETE
Pematang;Pematang P05;Pematang 00107;O-O-32B;Complete;COM02 - Initial Completion Oil Producer;Land Drilling Rig;ACS-009;GRK2/402/2210093DR;2021-08-15 21:30:00;2021-07-18 22:30:00;2021-08-19 01:00:00;COMPLETE
Pemburu;PEMB21-P04;Pemburu 00034;S1-W1-38B;Complete;COM02 - Initial Completion Oil Producer;Land Drilling Rig;ACS-009;GRK2/402/2210121DR;2021-08-16 00:00:00;2021-09-05 05:00:00;2021-09-06 17:00:00;COMPLETE
Pemburu;PEMB21-P04;Pemburu 00034;S1-W1-38B;Drill and Suspend;DRL01 - Drill Hole;Land Drilling Rig;ACS-009;GRK2/402/2210121DR;2021-08-19 01:00:00;2021-08-28 14:00:00;2021-09-06 17:00:00;COMPLETE
Pemburu;PEMB21-P05;Pemburu 00035;S1-W1-37E;Drill and Suspend;DRL01 - Drill Hole;Land Drilling Rig;ACS-009;GRK2/402/2210122DR;2021-09-06 17:00:00;2021-09-13 13:00:00;2021-09-23 00:00:00;COMPLETE
Pemburu;PEMB21-P05;Pemburu 00035;S1-W1-37E;Complete;COM02 - Initial Completion Oil Producer;Land Drilling Rig;ACS-009;GRK2/402/2210122DR;2021-09-21 00:00:00;2021-09-21 00:00:00;2021-09-23 00:00:00;COMPLETE
Pemburu;PEMB21-P07;Pemburu 00036;O-O-65E;Drill and Complete;DRL01 - Drill Hole;Land Drilling Rig;ACS-009;GRK2/402/2210123DR;2021-09-23 00:00:00;2021-09-27 05:00:00;2021-10-05 18:00:00;COMPLETE
